y_obs,p_mean,month,grade
1,0.03375,16,D
0,0.0025,15,A
0,0.00375,2,B
0,0.0,7,A
0,0.00375,1,B
0,0.00375,9,A
0,0.01125,8,B
0,0.02875,11,E
0,0.0025,8,A
0,0.01375,10,C
0,0.0175,12,E
0,0.01125,4,D
0,0.03375,20,E
0,0.0075,4,C
0,0.0125,11,B
0,0.02,9,C
0,0.065,36,C
0,0.00875,5,D
0,0.00875,10,B
0,0.0125,2,C
0,0.015,19,C
0,0.025,18,C
0,0.02125,16,C
0,0.03375,7,G
0,0.005,7,A
0,0.0175,10,C
0,0.01375,19,D
0,0.02875,22,E
0,0.01,5,D
0,0.0075,21,B
0,0.01375,3,C
0,0.005,12,B
0,0.0175,34,C
0,0.01625,13,C
0,0.015,7,C
0,0.0025,4,B
0,0.0,1,A
0,0.0025,7,B
0,0.0125,30,C
0,0.01125,29,B
0,0.0,7,A
0,0.005,28,A
0,0.03375,29,F
0,0.01,24,B
0,0.02125,11,C
0,0.02875,8,C
0,0.01125,17,C
0,0.02375,20,C
0,0.0175,13,C
0,0.00625,4,B
0,0.02,17,C
0,0.01875,8,C
0,0.05,20,E
0,0.00375,2,A
0,0.0025,20,A
0,0.0125,14,D
0,0.02375,13,C
0,0.0125,31,C
0,0.00125,29,A
0,0.00625,32,A
0,0.00625,20,B
0,0.005,33,B
0,0.01,25,B
0,0.00125,27,A
0,0.00625,20,B
0,0.0125,18,B
0,0.02625,13,E
0,0.00625,10,B
0,0.00375,26,A
0,0.03375,11,C
0,0.01625,2,G
0,0.0,1,B
0,0.03,12,E
0,0.00625,18,C
0,0.00875,33,B
0,0.015,15,C
0,0.00875,15,B
0,0.02375,12,D
0,0.015,10,D
0,0.0075,18,B
0,0.02375,9,C
0,0.015,16,B
0,0.015,5,E
0,0.0075,12,C
0,0.0025,17,B
1,0.01125,8,C
0,0.0225,22,D
0,0.00875,2,B
0,0.025,9,C
0,0.005,1,C
0,0.015,33,D
0,0.02125,30,D
0,0.00375,11,A
0,0.02625,11,D
0,0.0075,17,D
0,0.025,15,D
0,0.0175,21,C
0,0.015,19,C
0,0.01,3,D
0,0.01625,10,C
0,0.1575,36,F
0,0.00375,2,B
0,0.00625,17,C
0,0.0125,8,B
0,0.00375,10,B
0,0.02125,32,D
0,0.025,19,E
0,0.0175,2,C
0,0.01,21,B
0,0.00875,26,D
0,0.0125,21,C
0,0.00375,16,A
0,0.01875,8,B
0,0.005,26,B
0,0.02125,11,C
0,0.01375,15,C
0,0.01375,18,B
0,0.00625,27,A
0,0.02875,29,E
0,0.01125,2,C
0,0.01875,8,E
0,0.02625,20,D
0,0.00875,6,B
0,0.00375,24,B
0,0.00375,2,B
0,0.04125,11,F
0,0.01125,11,B
0,0.03125,9,C
0,0.04625,29,E
0,0.0075,20,A
0,0.01375,33,C
0,0.01,26,C
0,0.02,11,C
0,0.00125,24,A
0,0.005,21,B
0,0.00625,7,B
0,0.00625,35,B
0,0.0225,19,F
0,0.0175,2,E
0,0.00625,16,B
0,0.00875,9,B
0,0.00625,6,A
0,0.00625,24,B
0,0.0075,4,C
0,0.0025,28,C
0,0.005,26,A
0,0.01875,13,C
0,0.01125,24,C
0,0.00875,3,E
0,0.00375,22,A
0,0.005,1,C
0,0.0025,14,A
0,0.00875,15,D
0,0.00625,14,B
0,0.0325,19,E
0,0.00375,3,B
0,0.01125,3,C
0,0.0025,3,A
0,0.01875,16,B
0,0.00375,1,B
0,0.05625,13,D
0,0.0075,1,E
0,0.0125,11,B
0,0.00375,5,B
0,0.02,8,D
0,0.005,1,E
0,0.005,23,A
0,0.0075,23,C
0,0.00375,25,A
0,0.0125,8,B
0,0.0025,9,A
0,0.0025,1,A
0,0.02125,13,D
0,0.00375,14,A
0,0.02125,4,E
0,0.01125,3,E
0,0.00375,7,A
0,0.01,3,C
0,0.0,15,B
0,0.00375,10,B
0,0.01375,21,D
0,0.0025,2,B
0,0.005,7,A
0,0.0025,16,A
0,0.01,5,D
0,0.0125,4,E
0,0.01,4,D
0,0.01,19,C
0,0.0175,23,E
0,0.0225,7,D
0,0.0025,14,B
0,0.00625,6,B
0,0.02375,7,C
0,0.00375,1,B
0,0.005,17,B
0,0.00125,5,A
0,0.01875,16,B
0,0.0075,29,B
0,0.00625,9,A
0,0.00875,22,B
0,0.02,6,D
0,0.005,20,B
0,0.00375,32,A
0,0.0075,6,B
0,0.01125,10,C
0,0.01375,12,C
0,0.0375,27,G
0,0.00625,3,D
0,0.015,29,C
0,0.0,2,A
0,0.00125,2,B
0,0.01,8,B
0,0.00625,7,B
0,0.00375,12,A
0,0.0075,13,B
0,0.00375,2,B
0,0.0,21,A
0,0.0075,35,B
0,0.02,21,C
0,0.00625,9,B
0,0.01625,12,D
0,0.01,4,E
0,0.0975,36,E
0,0.03,22,D
0,0.00375,2,B
0,0.0025,1,C
0,0.00375,3,C
0,0.005,15,B
0,0.0075,12,C
0,0.0025,14,A
0,0.00125,27,A
0,0.0325,20,C
0,0.0,28,A
0,0.02375,27,C
0,0.0075,12,C
0,0.01125,12,C
0,0.0075,6,B
0,0.0,35,A
0,0.01,12,C
0,0.0025,4,B
0,0.0175,20,B
0,0.0125,23,C
0,0.025,9,D
0,0.01125,12,C
0,0.0225,25,C
0,0.00625,11,A
0,0.01375,5,C
0,0.025,9,D
0,0.00375,11,C
0,0.00875,17,B
0,0.01125,10,C
0,0.01625,9,C
0,0.02375,5,D
0,0.02375,20,D
1,0.025,14,F
0,0.00875,5,B
0,0.0175,20,C
0,0.01,8,B
0,0.0025,27,A
0,0.0175,6,E
0,0.02625,20,D
0,0.005,24,B
0,0.0225,32,C
0,0.01,17,B
0,0.01,13,B
0,0.015,10,E
0,0.00125,33,B
0,0.02625,16,D
0,0.005,11,A
0,0.0025,18,A
0,0.025,17,E
0,0.00375,4,B
0,0.01875,30,D
0,0.00375,2,C
0,0.01125,15,C
0,0.02875,11,D
0,0.01,12,B
0,0.0125,13,B
0,0.02,31,C
0,0.01625,33,D
0,0.03375,32,C
0,0.00375,14,A
0,0.02875,9,D
0,0.005,7,B
0,0.0025,3,B
0,0.00125,25,A
0,0.02,12,C
0,0.01,5,B
0,0.00875,5,C
0,0.005,1,B
0,0.02375,27,C
0,0.0275,27,C
0,0.00625,16,A
0,0.01375,17,B
0,0.02125,21,E
0,0.01125,24,C
0,0.0025,9,A
0,0.0025,31,A
0,0.0125,12,C
0,0.01125,2,C
0,0.00875,24,C
0,0.00875,11,B
0,0.00625,23,B
0,0.0025,5,B
0,0.02,10,D
0,0.01625,28,C
0,0.025,22,D
0,0.0075,23,B
0,0.01,33,B
0,0.025,26,F
1,0.025,29,C
0,0.0,14,A
0,0.04875,11,E
0,0.01375,8,C
0,0.0225,13,C
0,0.02,16,C
0,0.0125,24,D
0,0.02,3,E
0,0.01,4,D
0,0.01125,3,F
0,0.0025,4,B
0,0.025,27,C
0,0.00625,17,B
0,0.0175,9,D
0,0.0,14,A
0,0.0075,23,B
0,0.0025,4,B
0,0.01375,15,D
0,0.045,17,F
0,0.02,10,F
0,0.01625,19,C
0,0.01625,7,C
0,0.0075,34,B
0,0.00375,1,C
0,0.00875,22,B
0,0.02375,11,E
0,0.01,23,C
0,0.00875,3,C
0,0.00375,1,B
0,0.005,20,A
0,0.00375,4,A
0,0.02375,25,E
0,0.01125,31,C
0,0.01,11,C
0,0.0125,5,E
0,0.0025,1,C
0,0.01625,32,C
0,0.0225,18,C
0,0.01125,19,C
0,0.02,10,E
0,0.01,3,C
0,0.005,10,B
0,0.02,20,C
0,0.00375,5,B
0,0.0075,7,D
0,0.01,1,D
0,0.00875,8,B
0,0.04875,16,E
0,0.00125,4,A
0,0.0125,10,D
0,0.01875,19,C
0,0.01875,2,F
0,0.00375,13,A
0,0.01375,18,B
0,0.0075,11,B
0,0.005,2,C
0,0.0475,18,F
0,0.015,21,D
0,0.005,7,B
0,0.0125,22,B
0,0.00875,14,C
0,0.0175,12,F
0,0.0025,16,A
0,0.0275,11,C
0,0.0,3,B
0,0.0025,10,B
0,0.0125,18,C
0,0.0025,10,B
0,0.0225,5,F
0,0.0075,14,B
0,0.02,16,C
0,0.01,35,D
0,0.00875,31,B
0,0.015,14,D
0,0.00125,5,A
0,0.0025,30,B
0,0.02,17,D
0,0.0025,15,B
0,0.01875,29,C
0,0.0,26,A
0,0.00375,8,A
0,0.02125,27,C
0,0.0075,6,B
0,0.00625,26,B
0,0.00375,5,C
0,0.01375,3,E
1,0.01625,14,D
0,0.02,13,C
0,0.01625,11,D
0,0.0175,18,C
0,0.01,13,B
0,0.015,5,E
0,0.01125,10,B
0,0.01,6,B
0,0.005,14,B
0,0.01125,9,C
0,0.0175,8,B
0,0.00875,1,E
0,0.00375,1,B
0,0.01875,21,D
0,0.0125,16,B
0,0.005,3,B
0,0.0075,1,C
0,0.00875,28,B
0,0.01125,6,B
0,0.0125,9,B
0,0.005,14,B
0,0.0225,8,B
0,0.0125,19,C
0,0.03375,25,C
0,0.01375,21,C
0,0.015,16,D
0,0.005,8,A
0,0.0125,17,B
0,0.01625,17,C
0,0.015,4,C
0,0.05125,27,E
0,0.0175,19,D
0,0.005,31,C
0,0.0075,6,B
0,0.0075,11,B
0,0.0025,29,A
0,0.055,9,D
0,0.01,15,C
0,0.01,35,E
0,0.0075,4,D
0,0.0075,6,C
0,0.00375,1,C
0,0.0025,4,C
0,0.01875,16,D
0,0.01375,15,D
0,0.00875,13,B
0,0.01,20,B
0,0.015,22,C
0,0.00375,28,A
0,0.02875,27,D
0,0.005,26,B
0,0.00875,15,C
1,0.02375,10,D
0,0.06,7,E
0,0.00625,19,B
0,0.01625,14,D
0,0.01375,4,D
0,0.02625,5,F
0,0.01,13,B
0,0.0175,30,C
0,0.00875,24,D
0,0.02,18,C
0,0.00625,31,B
0,0.01625,11,C
0,0.01,9,A
0,0.00625,4,B
0,0.00875,8,B
0,0.005,1,E
0,0.00875,30,A
0,0.005,25,B
0,0.01625,13,C
0,0.01125,21,C
0,0.0025,33,C
0,0.01375,11,C
0,0.01375,4,C
0,0.005,11,B
0,0.025,12,D
0,0.0075,4,C
0,0.00625,11,A
0,0.0375,29,E
0,0.015,22,B
0,0.0075,23,B
0,0.0225,16,B
0,0.005,31,B
0,0.01875,27,C
0,0.01875,30,C
0,0.01125,34,B
0,0.0025,13,A
0,0.00375,26,D
0,0.01,13,C
0,0.01125,6,B
0,0.02,33,C
0,0.0325,34,D
0,0.0075,4,B
1,0.03625,18,F
0,0.00875,20,B
0,0.00625,5,B
0,0.02375,12,E
0,0.01125,11,B
0,0.0175,5,F
0,0.02625,17,E
0,0.005,8,A
0,0.00875,6,B
0,0.0225,7,D
0,0.00625,25,B
1,0.01625,21,C
0,0.005,3,B
0,0.0,1,A
0,0.00375,3,C
0,0.005,24,A
0,0.025,29,C
0,0.0075,6,B
0,0.01,17,B
0,0.01375,18,C
0,0.00375,2,B
0,0.015,16,B
0,0.0175,22,B
0,0.00125,26,A
0,0.00125,4,E
0,0.0025,2,B
0,0.01375,34,C
0,0.0075,4,B
0,0.005,3,C
0,0.0325,27,C
0,0.0075,6,B
0,0.01,15,B
0,0.0225,23,F
0,0.01375,13,C
0,0.04375,16,F
0,0.02625,7,D
0,0.00125,18,A
0,0.01125,23,C
0,0.01125,15,C
0,0.005,19,B
0,0.005,1,B
0,0.015,17,B
0,0.02375,23,D
0,0.025,31,E
0,0.0075,8,C
0,0.0375,34,D
0,0.00625,16,A
0,0.0225,19,C
0,0.005,6,A
0,0.025,18,D
0,0.01,19,B
0,0.0075,26,C
0,0.0125,23,B
0,0.0025,18,A
0,0.00625,26,B
0,0.0175,8,B
0,0.03125,22,D
0,0.00625,25,B
0,0.005,20,A
0,0.0125,29,B
0,0.02375,3,D
0,0.02,24,D
0,0.0025,31,B
0,0.0125,1,D
0,0.00875,11,B
0,0.01375,18,B
0,0.00375,25,B
0,0.03,13,E
0,0.0175,9,C
0,0.00125,1,A
0,0.05125,9,F
0,0.00625,14,B
0,0.02625,21,D
0,0.01125,20,B
0,0.01125,19,C
0,0.01375,32,B
0,0.03125,9,D
0,0.00375,14,A
0,0.00375,10,A
0,0.00625,21,B
0,0.03625,11,F
0,0.0075,21,B
0,0.04375,27,E
0,0.00375,5,B
0,0.02125,17,D
0,0.01125,32,B
0,0.02625,36,B
0,0.02,4,F
0,0.02125,11,C
0,0.01,1,E
0,0.02625,17,D
0,0.0125,32,B
0,0.00625,4,C
0,0.0125,14,C
0,0.0225,3,C
0,0.04125,27,E
0,0.00125,15,A
0,0.015,17,C
0,0.0025,15,B
0,0.00875,12,B
0,0.01375,14,E
0,0.01125,10,C
0,0.0125,19,D
0,0.02625,8,D
0,0.01,5,D
0,0.0025,2,C
0,0.00625,10,C
0,0.005,11,A
0,0.01,3,C
0,0.04125,22,E
0,0.00625,25,B
0,0.0125,14,C
0,0.0075,28,B
0,0.0025,17,A
0,0.035,32,C
0,0.05125,36,C
0,0.02,13,D
0,0.00625,6,B
0,0.00375,28,C
0,0.03875,8,D
0,0.00625,2,C
0,0.01375,18,B
0,0.02875,32,C
0,0.0,3,A
0,0.00875,4,C
0,0.01375,13,B
0,0.005,15,C
0,0.01375,28,E
0,0.0125,10,B
0,0.0025,13,A
0,0.005,4,E
0,0.0125,17,C
0,0.0225,13,C
0,0.00625,12,B
0,0.01625,15,C
0,0.0025,20,A
0,0.0075,3,D
0,0.02375,25,E
0,0.00125,1,B
0,0.01625,4,F
0,0.01,13,B
1,0.01375,19,D
0,0.0,6,A
0,0.00875,10,C
0,0.00875,12,C
0,0.00375,25,A
0,0.00125,4,A
0,0.025,30,D
0,0.0025,12,B
0,0.0,1,A
0,0.00625,1,E
0,0.0025,19,A
0,0.02375,23,E
0,0.0125,4,B
0,0.01125,22,B
0,0.01375,13,B
0,0.02125,19,C
0,0.0025,3,A
0,0.00625,5,B
0,0.03125,9,C
0,0.02125,5,E
0,0.0,1,A
0,0.00875,7,C
0,0.0075,33,D
0,0.0325,6,C
0,0.02125,24,G
0,0.005,11,A
0,0.00625,25,D
0,0.015,15,C
0,0.0025,2,B
0,0.03125,19,E
0,0.00625,4,C
0,0.0375,20,F
0,0.01375,2,G
0,0.0075,4,C
0,0.0125,13,B
0,0.00375,7,B
0,0.04375,20,D
0,0.0025,24,C
0,0.0025,25,A
0,0.01,14,C
0,0.0325,19,D
0,0.03125,6,F
0,0.0075,21,B
0,0.00375,8,A
0,0.00375,24,B
0,0.01375,3,D
0,0.0125,19,B
0,0.02125,9,C
0,0.00375,23,B
0,0.00375,3,B
0,0.0125,25,C
0,0.0275,17,C
0,0.0025,1,B
0,0.0075,3,C
0,0.02625,30,C
0,0.02625,27,C
0,0.0025,11,A
0,0.03875,36,B
0,0.00875,5,B
0,0.01,23,D
0,0.01125,10,C
0,0.01125,20,C
0,0.01375,24,D
0,0.00875,28,B
0,0.00625,11,A
0,0.00875,16,B
0,0.02,13,C
0,0.0025,14,B
0,0.015,11,C
0,0.02125,29,D
0,0.03375,11,D
0,0.00625,28,B
0,0.035,27,C
0,0.00125,31,A
0,0.015,16,C
0,0.005,29,A
0,0.02125,12,D
0,0.01,9,B
0,0.0025,23,A
0,0.0125,27,B
0,0.01125,8,B
0,0.01,31,D
0,0.0125,8,B
0,0.04,34,E
0,0.0,3,A
0,0.03875,27,C
0,0.0075,8,A
0,0.01125,9,B
0,0.01,3,C
0,0.02,18,D
0,0.00375,23,A
0,0.00625,3,B
0,0.03375,11,D
0,0.01,11,C
0,0.01875,8,C
0,0.00875,26,B
0,0.02125,5,E
0,0.01,33,C
0,0.00375,17,B
0,0.005,5,D
0,0.01125,18,B
0,0.00625,1,B
0,0.0625,32,F
0,0.01125,4,C
0,0.00875,5,B
0,0.00875,1,D
0,0.00375,11,A
0,0.00375,4,C
0,0.02625,31,E
0,0.01,28,B
0,0.02625,34,D
0,0.01875,25,C
0,0.00375,23,B
0,0.0525,32,F
0,0.0175,11,C
0,0.0025,3,C
0,0.005,9,B
0,0.03625,36,A
0,0.02,27,C
0,0.01125,19,A
0,0.03625,34,C
0,0.01625,3,D
0,0.0175,13,B
0,0.00375,9,A
0,0.01875,18,C
0,0.0125,26,C
0,0.02,12,C
0,0.02,25,C
0,0.00375,27,A
0,0.01,10,B
0,0.02875,34,E
0,0.0225,10,D
0,0.02375,11,D
0,0.0125,13,C
0,0.0075,17,B
0,0.0075,3,B
0,0.02,12,D
0,0.00375,9,A
0,0.01875,29,C
0,0.01,34,B
0,0.0,5,A
0,0.01625,7,B
0,0.0175,25,C
0,0.00625,4,D
0,0.03625,20,E
0,0.00125,2,A
0,0.01875,33,C
0,0.01625,10,G
0,0.00625,21,B
0,0.00625,1,C
0,0.00375,23,B
0,0.0025,23,A
0,0.005,15,A
0,0.03625,19,D
0,0.00875,23,C
0,0.00375,24,A
0,0.03125,22,E
0,0.02625,11,C
1,0.01,16,B
0,0.02375,14,E
0,0.0125,6,E
0,0.0325,19,E
0,0.01,11,C
0,0.00375,10,A
0,0.01,15,C
0,0.00625,7,B
0,0.00625,2,B
0,0.02,34,C
0,0.02,15,E
0,0.01125,20,B
0,0.01625,11,D
0,0.00625,31,C
0,0.0175,18,C
0,0.01875,34,C
0,0.01625,13,C
0,0.045,17,F
0,0.005,26,B
0,0.015,11,B
0,0.0075,15,D
0,0.01,1,F
0,0.01375,19,B
0,0.0075,10,C
0,0.01375,29,B
0,0.0125,16,B
0,0.00625,29,A
0,0.01,23,C
0,0.01375,3,D
0,0.00125,3,A
0,0.00875,26,B
0,0.01375,3,C
0,0.0325,22,F
0,0.01875,5,D
0,0.01,6,C
0,0.0175,36,A
0,0.00125,5,A
0,0.02875,13,D
0,0.00375,5,B
0,0.0275,33,E
0,0.0,17,A
0,0.0075,20,B
0,0.0175,7,C
0,0.015,33,C
0,0.00375,27,A
0,0.01625,32,C
0,0.0,3,A
0,0.01125,23,E
0,0.0225,10,D
0,0.0075,21,B
0,0.00125,21,A
0,0.00375,24,A
0,0.00375,5,C
0,0.0275,6,D
0,0.00875,3,B
0,0.0125,10,C
0,0.025,19,C
0,0.00375,15,C
0,0.00375,24,A
0,0.00625,6,A
0,0.01625,8,C
0,0.00625,30,A
0,0.01875,18,B
0,0.00625,3,B
0,0.03375,13,C
0,0.00375,31,A
0,0.005,20,A
0,0.02125,22,C
0,0.01875,11,C
0,0.005,22,B
0,0.015,28,C
0,0.015,6,D
0,0.005,2,B
0,0.01125,22,B
0,0.00125,2,B
0,0.01375,20,B
0,0.02125,2,E
0,0.01,22,B
0,0.0,26,B
0,0.015,29,C
0,0.02125,9,D
0,0.0075,19,B
0,0.0925,36,E
0,0.00875,2,C
0,0.0025,4,B
0,0.00875,28,D
0,0.00625,14,B
0,0.01125,3,D
0,0.00125,1,C
0,0.015,29,B
0,0.01125,3,C
0,0.01375,5,D
0,0.00375,29,A
0,0.01375,22,C
0,0.02875,34,E
0,0.0275,9,E
0,0.0075,6,B
0,0.0075,3,B
0,0.02375,16,C
0,0.01625,6,C
0,0.01375,15,C
0,0.02,12,F
0,0.01,16,B
0,0.00125,30,A
0,0.0125,29,C
0,0.01125,5,D
0,0.01125,20,B
0,0.02125,30,C
0,0.00875,30,B
0,0.00375,3,A
0,0.01,12,C
0,0.00375,8,A
0,0.0125,16,C
0,0.0125,13,C
0,0.0125,17,B
0,0.01125,17,C
0,0.00875,17,C
0,0.005,7,B
0,0.00125,22,A
0,0.0375,20,D
0,0.01,9,B
0,0.05375,36,C
0,0.01375,9,B
0,0.01375,30,C
0,0.0075,13,B
0,0.0025,1,C
0,0.0075,28,C
0,0.0275,16,C
0,0.01125,5,C
0,0.02875,8,E
0,0.00625,13,B
0,0.0225,25,E
0,0.0075,14,C
0,0.01,3,B
0,0.0,3,A
0,0.01125,12,B
0,0.0025,24,B
1,0.02875,8,D
0,0.0075,20,B
0,0.00375,17,A
0,0.005,24,B
0,0.0075,21,B
0,0.00625,9,A
0,0.0425,6,F
0,0.0375,9,F
0,0.0225,18,C
0,0.0125,21,B
0,0.00375,11,A
0,0.0125,33,C
0,0.01375,33,D
0,0.0025,8,A
0,0.00875,3,C
0,0.01875,8,C
0,0.02875,16,D
0,0.0075,23,D
0,0.0025,14,A
0,0.02,9,C
0,0.00875,32,B
0,0.03875,19,G
0,0.015,9,C
0,0.01,14,B
0,0.0,1,B
0,0.00875,21,B
0,0.01375,32,C
0,0.00375,9,A
0,0.00375,28,B
0,0.01125,19,B
0,0.1175,36,E
0,0.015,18,D
0,0.01,6,B
0,0.015,8,C
0,0.01,4,E
0,0.01375,25,D
0,0.00625,2,B
0,0.00875,11,B
0,0.015,19,D
0,0.01875,11,C
0,0.01,17,C
0,0.0425,16,C
0,0.02,21,D
0,0.01,13,D
0,0.01,13,B
0,0.01,10,B
0,0.0175,11,C
0,0.00375,5,B
0,0.00125,1,A
0,0.01375,14,E
0,0.0075,4,B
0,0.00125,21,A
0,0.00625,12,A
0,0.00875,12,D
0,0.0125,30,C
0,0.005,2,B
0,0.00375,10,B
0,0.00125,1,A
0,0.035,18,E
0,0.00625,5,B
0,0.025,29,D
1,0.0175,12,D
0,0.0125,20,C
0,0.01375,26,C
0,0.01,8,B
0,0.0125,2,C
0,0.01125,20,C
0,0.0125,11,C
0,0.00625,17,A
0,0.01,7,B
0,0.01375,9,C
0,0.0275,34,D
0,0.00875,1,E
0,0.01,18,C
0,0.01,20,B
0,0.00125,13,A
0,0.02,31,G
0,0.02125,11,C
0,0.00625,26,B
0,0.01125,6,B
0,0.00875,35,E
0,0.00625,22,B
0,0.0075,4,C
0,0.015,21,B
0,0.0125,9,B
0,0.0075,19,B
0,0.01375,2,D
0,0.0075,3,B
0,0.005,21,B
0,0.02875,11,C
0,0.0,1,C
0,0.005,12,B
0,0.00875,16,B
0,0.02125,33,D
0,0.01875,30,C
0,0.00375,4,B
0,0.01625,3,E
0,0.00875,18,B
0,0.01875,12,D
0,0.0025,14,B
0,0.01,6,B
0,0.015,15,F
0,0.01125,2,D
0,0.00125,1,C
0,0.01375,18,C
0,0.0075,4,C
0,0.02125,11,D
0,0.0325,27,E
0,0.0075,29,B
0,0.0025,5,B
0,0.00625,2,C
0,0.0025,1,C
0,0.0,2,A
0,0.00625,29,B
0,0.0125,18,C
0,0.01625,21,C
0,0.0125,32,C
0,0.02875,29,D
0,0.02875,10,D
0,0.01375,19,C
0,0.0025,15,A
0,0.0125,7,B
0,0.02625,20,C
0,0.01,13,B
0,0.02,25,C
0,0.02125,4,E
0,0.01125,7,D
0,0.03,10,E
0,0.01375,16,B
0,0.0025,1,B
0,0.02125,27,B
0,0.02125,6,D
0,0.01125,5,E
0,0.00125,1,B
0,0.025,34,C
